Orthogroup	Sequences	Taxa	Conservation	Filename
_OG0000000	28	7	gram+	orthogroups/_OG0000000.fasta
_OG0000003	22	7	gram+	orthogroups/_OG0000003.fasta
_OG0000008	16	8	gram-	orthogroups/_OG0000008.fasta
_OG0000009	16	4	gram-	orthogroups/_OG0000009.fasta
_OG0000010	16	9	gram+	orthogroups/_OG0000010.fasta
_OG0000012	15	7	gram+	orthogroups/_OG0000012.fasta
_OG0000013	15	6	gram+	orthogroups/_OG0000013.fasta
_OG0000014	14	8	gram+	orthogroups/_OG0000014.fasta
_OG0000015	14	9	both	orthogroups/_OG0000015.fasta
_OG0000016	14	7	gram-	orthogroups/_OG0000016.fasta
_OG0000017	13	8	gram+	orthogroups/_OG0000017.fasta
_OG0000019	13	10	both	orthogroups/_OG0000019.fasta
_OG0000029	12	6	gram+	orthogroups/_OG0000029.fasta
_OG0000034	11	9	both	orthogroups/_OG0000034.fasta
_OG0000036	11	8	gram+	orthogroups/_OG0000036.fasta
_OG0000037	11	7	gram+	orthogroups/_OG0000037.fasta
_OG0000041	10	6	gram+	orthogroups/_OG0000041.fasta
_OG0000042	10	10	both	orthogroups/_OG0000042.fasta
_OG0000043	10	10	both	orthogroups/_OG0000043.fasta
_OG0000056	9	9	both	orthogroups/_OG0000056.fasta
_OG0000057	9	9	gram+	orthogroups/_OG0000057.fasta
_OG0000058	9	9	both	orthogroups/_OG0000058.fasta
_OG0000059	9	9	both	orthogroups/_OG0000059.fasta
_OG0000060	9	9	both	orthogroups/_OG0000060.fasta
_OG0000061	9	8	gram+	orthogroups/_OG0000061.fasta
_OG0000062	9	8	gram+	orthogroups/_OG0000062.fasta
_OG0000064	9	9	both	orthogroups/_OG0000064.fasta
_OG0000066	9	9	both	orthogroups/_OG0000066.fasta
_OG0000067	9	9	both	orthogroups/_OG0000067.fasta
_OG0000068	9	8	gram+	orthogroups/_OG0000068.fasta
_OG0000069	9	9	both	orthogroups/_OG0000069.fasta
_OG0000070	9	8	gram+	orthogroups/_OG0000070.fasta
_OG0000072	9	8	gram+	orthogroups/_OG0000072.fasta
_OG0000073	9	8	gram-	orthogroups/_OG0000073.fasta
_OG0000075	9	9	both	orthogroups/_OG0000075.fasta
_OG0000080	9	7	gram+	orthogroups/_OG0000080.fasta
_OG0000082	8	8	gram-	orthogroups/_OG0000082.fasta
_OG0000083	8	8	gram-	orthogroups/_OG0000083.fasta
_OG0000084	8	8	gram-	orthogroups/_OG0000084.fasta
_OG0000085	8	8	gram-	orthogroups/_OG0000085.fasta
_OG0000086	8	8	gram-	orthogroups/_OG0000086.fasta
_OG0000089	8	8	gram+	orthogroups/_OG0000089.fasta
_OG0000090	8	8	gram+	orthogroups/_OG0000090.fasta
_OG0000092	8	8	gram-	orthogroups/_OG0000092.fasta
_OG0000093	8	8	gram-	orthogroups/_OG0000093.fasta
_OG0000097	8	8	gram-	orthogroups/_OG0000097.fasta
_OG0000098	8	6	gram-	orthogroups/_OG0000098.fasta
_OG0000100	8	8	gram+	orthogroups/_OG0000100.fasta
_OG0000101	8	8	gram+	orthogroups/_OG0000101.fasta
_OG0000102	8	8	gram+	orthogroups/_OG0000102.fasta
_OG0000105	8	7	gram+	orthogroups/_OG0000105.fasta
_OG0000107	8	7	gram+	orthogroups/_OG0000107.fasta
_OG0000108	8	6	gram+	orthogroups/_OG0000108.fasta
_OG0000114	7	7	gram+	orthogroups/_OG0000114.fasta
_OG0000115	7	7	gram-	orthogroups/_OG0000115.fasta
_OG0000121	7	7	gram-	orthogroups/_OG0000121.fasta
_OG0000122	7	6	gram+	orthogroups/_OG0000122.fasta
_OG0000126	7	7	gram-	orthogroups/_OG0000126.fasta
_OG0000143	7	7	gram+	orthogroups/_OG0000143.fasta
_OG0000231	5	4	gram-	orthogroups/_OG0000231.fasta
_OG0000288	4	4	gram-	orthogroups/_OG0000288.fasta
